"","X__1","artist.name","duration","key","latitude","location","longitude","mode","similar","tempo","terms","target_h","artist.hotness","artist_familiarity","bars_start","beats_start","end_of_fade_in","loudness","start_of_fade_out","tatums_start","time_signature","decade2"
"11",14,"Bob Azzam",191.84281,10,37.1573567501336,"Not available",-63.9333578685195,0,"AR3QRJ91187B98E4C2",137.334,"chanson",0,0.251936525,0.085512047,0.46223,0.46223,0.38,-7.75,188.424,0.23506,1,"Not Available"
"12",16,"Blue Rodeo",491.12771,7,43.64856,"Toronto, Ontario, Canada",-79.38533,1,"ARGCEMX1187B9921A4",119.826,"country rock",0.405115722,0.447935481,0.636423645,1.32118,0.30065,2.688,-8.576,486.034,0.05047,4,"1980"
"13",17,"Richard Souther",228.5971,8,37.16793,"United States",-95.84502,1,"AR6UR8S1187B9B928F",127.756,"chill-out",0.334706549,0.330806357,0.419943148,1.19076,0.24795,0.223,-16.11,217.426,0.08584,5,"Not Available"
"14",18,"Faiz Ali Faiz",599.24853,6,37.1573567501336,"Not available",-63.9333578685195,1,"ARACE911187B999DB5",99.273,"qawwali",0,0.306676094,0.363280571,0.90668,0.27615,1.193,-8.032,591.999,0.12168,4,"Not Available"
"15",19,"Tesla",290.29832,7,37.1573567501336,"Not available",-63.9333578685195,1,"ARO353H1187B9A43E9",150.062,"hard rock",0.684136191,0.51346329,0.707199764,0.8752,0.05728,0.145,-5.271,285.605,0.05728,4,"2000"
"16",20,"lextrical",165.69424,7,37.1573567501336,"Not available",-63.9333578685195,1,"ARDKYXY11E2835EB51",138.331,"indietronica",0,0.240458896715739,0.32031437,0.66829,0.22335,0.162,-6.787,157.391,0.22335,4,"Not Available"
"17",22,"Alice Stuart",220.78649,11,38.8991,"Washington",-77.029,1,"AR0MN9F1187B9A9F71",110.382,"electric blues",0,0.328553015,0.489816269,0.46253,0.46253,0.206,-8.514,207.656,0.16228,1,"Not Available"
"18",23,"Elena",269.58322,2,49.80388,"Dubai UAE",15.47491,1,"ARDFZRH1269FCD3ADD",111.874,"uk garage",0.313562114,0.378254686,0.677420465,1.06937,0.51434,0.362,-8.05,256.168,0.51434,4,"Not Available"
"19",24,"The Dillinger Escape Plan",207.77751,7,40.82624,"Morris Plains, NJ",-74.47995,1,"ARNUJQM1187FB3EE72",166.862,"math-core",0.666527846,0.541888972,0.839962768,1.06698,0.33578,0.061,-4.264,204.696,0.15349,4,"2000"
"20",25,"SUE THOMPSON",124.86485,10,37.83721,"Nevada, MO",-94.35868,1,"ARD92TH1187FB57ACD",137.522,"pop rock",0.495293621,0.306242264,0.435415818,0.70311,0.26706,0.304,-12.332,115.74,0.04025,4,"1980"
"21",26,"Five Bolt Main",225.09669,7,37.1573567501336,"Not available",-63.9333578685195,1,"ARXXRJJ1187B9B4DCF",164.672,"post-grunge",0.375984302,0.363651365,0.6090637,0.08901,0.08901,0.228,-5.908,225.097,0.08901,1,"Not Available"
"22",27,"Clp",338.31138,6,37.1573567501336,"Not available",-63.9333578685195,0,"ARAR1XA11C8A415BE5",125.006,"breakcore",0,0.422705641,0.550513698,0.93643,0.45716,0.224,-6.486,338.311,0.21693,4,"Not Available"
"23",28,"Tim Wilson",186.48771,5,32.67828,"Georgia",-83.22295,1,"AR74HI61187FB5327F",90.022,"filk",0.02,0.349912612,0.459797129,0.52648,0.52648,1.083,-4.516,175.467,0.07391,1,"2000"
"24",29,"Willie Bobo",168.25424,8,40.79195,"New York, NY [Spanish Harlem]",-73.94512,1,"AR1N6N61187FB4E25E",127.025,"latin jazz",0.44,0.379671125,0.588827101,1.01964,0.06314,0.2,-9.616,161.89,0.06314,4,"1990"
"25",30,"Faye Adams",156.39465,8,40.73197,"Newark, NJ",-74.17418,1,"ARRB15P1187FB3B0DF",95.957,"jump blues",0,0.299230368,0.396455254,0.97531,0.3393,0.562,-18.051,150.634,0.3393,3,"1960"
"26",31,"Terry Callier",342.56934,6,41.88415,"Chicago",-87.63241,1,"ARTB5PP1187FB523B7",110.189,"soul jazz",0.413739836,0.416173065,0.706827671,0.96908,0.42073,0.063,-11.939,333.154,0.13836,3,"1970"
"27",32,"John Wesley",484.62322,4,27.94017,"Brandon",-82.32547,0,"ARRJTPR11F4C8473CF",138.007,"disco",0.377531645,0.452789477,0.560557984,0.56075,0.56075,28.172,-15.335,480.363,0.56075,4,"Not Available"
"28",33,"The Shangri-Las",164.80608,10,40.7038,"Queens, NY",-73.83168,1,"ARXY7M01187B9B7611",130.1,"doo-wop",0.443291312,0.418216518,0.640807102,0.10131,0.10131,0.171,-10.922,156.177,0.10131,1,"1960"
"29",34,"Billie Jo Spears",133.32853,4,30.08615,"Beaumont, TX",-94.10158,1,"AR7HM181187FB3CFC1",160.839,"classic country",0,0.384611084,0.523714637,0.24118,0.24118,0.206,-9.983,130.009,0.04851,1,"1990"
"30",37,"Butthole Surfers",450.84689,4,29.42449,"San Antonio, TX",-98.49462,0,"ARCDZ0K1187FB43757",130.586,"noise rock",0.593943076,0.488019842,0.809323793,0.2438,0.2438,0.467,-9.063,426.104,0.09307,4,"Not Available"
"31",39,"Javier Navarrete",128.83546,3,37.1573567501336,"Not available",-63.9333578685195,1,"ARU52PB1187FB58E46",90.932,"orchestra",0.394394856,0.382651971,0.597541218,0.77461,0.77461,0.562,-17.699,121.423,0.77461,3,"Not Available"
"32",40,"Jacob Young",456.30649,1,37.1573567501336,"Not available",-63.9333578685195,1,"ARM8XWM1187FB4E225",89.667,"cool jazz",0,0.294861262,0.495445922,0.92047,0.23284,0.241,-19.478,451.315,0.06094,4,"Not Available"
"33",41,"Scarlet's Remains",198.73914,7,34.05349,"California - LA",-118.24532,1,"ARNM1OG1187FB3DE32",115.061,"gothic metal",0.450992312,0.393121934,0.527865076,0.73465,0.28881,0.142,-7.469,193.016,0.14044,4,"2000"
"34",42,"The Suicide Machines",95.68608,2,42.33168,"Detroit, MI",-83.04792,1,"ARGAFOR11F50C47F57",115.887,"ska punk",0.528782481,0.467538444,0.668674533,0.90181,0.38075,0.102,-2.022,87.806,0.12215,4,"2000"
"35",43,"The Rolling Stones",271.49016,9,51.50632,"London, England",-0.12714,0,"ARSAIUN1187FB398D3",139.333,"blues",0.83449262,0.735765693,0.814829656,0.15016,0.15016,0.171,-10.358,263.784,0.15016,1,"Not Available"
"36",44,"Roberto Torres",226.66404,0,37.1573567501336,"Not available",-63.9333578685195,1,"AR1PNWN1187FB4A404",117.271,"salsa",0,0.350078579,0.482356043,0.86592,0.34973,0.311,-12.716,219.51,0.34973,4,"Not Available"
"37",45,"Loudon Wainwright III",190.48444,3,35.91463,"Chapel Hill, NC",-79.05661,1,"ARYXGMM1187B9AC285",102.428,"modern rock",0.510119314,0.442765842,0.661080168,1.56662,0.37554,0.258,-15.663,177.029,0.37554,4,"1990"
"38",46,"R.L. Burnside",277.78567,2,34.36401,"Oxford, MS",-89.51877,1,"AR3KUCG1187B9A0BEA",89.984,"delta blues",0.482137585,0.466628889,0.701180874,0.93659,0.275,0.24,-6.944,267.453,0.275,4,"2000"
"39",47,"Stevie Ray Vaughan",248.78975,1,32.77815,"Dallas, TX",-96.7954,1,"ARZBUQ41187FB39D29",116.721,"texas blues",0.46,0.544257506,0.73379894,0.74277,0.2077,0.183,-7.805,246.19,0.2077,4,"1990"
"40",48,"John Hammond",195.3171,7,37.1573567501336,"Not available",-63.9333578685195,1,"ARWBYRS1187FB3DE02",123.142,"blues",0.09,0.452817838,0.590692918,0.32071,0.32071,0.206,-10.7,187.617,0.32071,4,"2000"
"41",49,"Casiotone For The Painfully Alone",175.72526,0,37.1573567501336,"Not available",-63.9333578685195,1,"AREX9GE1187FB41987",141.919,"trip hop",0.785892288,0.394217199,0.665322162,0.74575,0.32409,0.734,-10.93,168.699,0.11431,4,"2000"
"42",50,"Ec8or",217.23383,10,52.51607,"Berlin, Germany",13.37698,0,"AR3TG3X1187FB4D577",95.596,"hardcore techno",0.07,0.33457736,0.50407567,0.47086,0.47086,1.042,-9.493,213.496,0.15342,4,"1990"
"43",51,"The New York Dolls",344.05832,11,37.1573567501336,"New York, NY",-63.9333578685195,1,"AR9B5JX1187FB55D84",154.953,"glam rock",0.561692411,0.479308459,0.717670525,0.12284,0.12284,0.068,-9.253,335.029,0.12284,1,"1970"
"44",52,"Eliane Elias",251.42812,7,-23.56287,"Sao Paulo, Brazil",-46.65466,1,"ARCXKY91187B9ACA99",86.091,"brazilian jazz",0.43483809,0.427914247,0.669726188,2.90946,0.14772,0.071,-12.009,237.598,0.14772,5,"2000"
"45",53,"Lost Boyz",269.7922,7,37.1573567501336,"South Jamaica, Queens",-63.9333578685195,1,"ARE352A1187FB40607",90.218,"gangster rap",0.405115722,0.412240601,0.569741152,0.34237,0.34237,0.218,-11.043,257.416,0.34237,4,"1990"
"46",54,"The Germs",206.05342,11,34.05349,"Los Angeles, CA",-118.24532,0,"ARNFTGS1187B9A465F",133.144,"rock",0.15,0.40439264,0.640048357,0.05314,0.05314,0.212,-11.506,206.053,0.05314,1,"1970"
"47",56,"Chris Rea",241.162,9,37.1573567501336,"Middlesbrough, England",-63.9333578685195,1,"ARFWLXM1187B9B5EE5",180.149,"soft rock",0.767727748,0.500691341,0.643182773,0.42366,0.0889,0.549,-8.531,230.342,0.0889,4,"1980"
"48",57,"Perrey And Kingsley",122.64444,0,37.1573567501336,"Not available",-63.9333578685195,0,"ARMNSQF1187FB57CB7",102.538,"easy listening",0.43483809,0.338414819,0.411421048,0.49054,0.49054,0.99,-8.541,109.627,0.05812,4,"1960"
"49",58,"Eurythmics",207.0722,0,51.50632,"London, England",-0.12714,1,"ARGE7G11187FB37E05",84.164,"dance rock",0.38293509,0.523699078,0.75100762,8.99358,2.31778,2.583,-6.629,202.757,2.31778,4,"1980"
"50",59,"Francis Dunnery",300.79955,7,54.48303,"Egremont, Cumbria, England",-3.53444,1,"ARL2M1Y1187FB3A940",124.175,"singer-songwriter",0.610474258,0.383524247,0.54858513,1.1612,0.67535,0.247,-13.33,298.347,0.42142,4,"1990"
"51",60,"John Cale",228.46649,7,37.1573567501336,"Garnant, Wales",-63.9333578685195,1,"AR3I2HS1187B9AC3BB",137.004,"experimental rock",0.226555314,0.481655862,0.749317801,0.02909,0.02909,5.19,-12.412,228.466,0.02909,1,"1990"
"52",61,"Suzanne Ciani",239.59465,7,37.77916,"California - SF",-122.42005,1,"ARBN7GR1187FB531FD",106.33,"meditation",0.415983118,0.380704536,0.631946666,0.96617,0.3834,0.311,-21.552,236.507,0.08155,4,"Not Available"
"53",63,"The Berzerker",165.61587,1,-37.81753,"Melbourne, Australia",144.96715,1,"AR3FOFE1187FB3E18A",174.287,"speedcore",0,0.45755391,0.668370612,0.38387,0.38387,2.171,-6.222,165.616,0.21142,3,"2000"
"54",64,"Kings Of Leon",187.92444,0,36.16778,"Nashville, Tennessee",-86.77836,1,"AR3KUCG1187B9A0BEA",116.823,"southern rock",0.685940227,0.788805935,0.845768866,1.18583,0.15226,0.328,-5.907,180.344,0.15226,4,"2000"
"55",65,"Edith Lefel",276.50567,0,37.1573567501336,"Not available",-63.9333578685195,1,"ARTIJDU1187FB589E2",101.972,"zouk",0,0.30004649,0.407455644,1.1958,0.01968,0.299,-4.638,261.956,0.01968,4,"Not Available"
"56",67,"NOFX",144.50893,4,37.1573567501336,"Berkeley, CA",-63.9333578685195,0,"ARHJFFY1187B98BA76",152.622,"punk",0.671236027,0.554291489,0.778816717,0.76754,0.29609,0.237,-7.787,140.057,0.0586,4,"1990"
"57",69,"Soda Stereo",246.69995,7,37.1573567501336,"Not available",-63.9333578685195,1,"ARL3VGT1187FB40E8E",112.903,"rock",0.62616576,0.466826993,0.711165787,1.74155,0.67947,0.322,-9.603,224.049,0.42263,4,"1990"
"58",70,"Bruce Rowland",84.03546,7,-24.9162,"AUSTRALIA",133.39311,1,"ARA1WSX1187B990212",115.642,"easy listening",0,0.30045446,0.443162398,0.36508,0.36508,0.328,-26.266,75.79,0.11188,4,"1980"
"59",71,"Xcultures",273.52771,1,37.1573567501336,"Not available",-63.9333578685195,1,"AREI7EO1187B98BE33",125.013,"gabba",0.199238262,0.266275286,0.400433514,1.21595,0.25377,2.177,-6.305,268.893,0.25377,4,"2000"
"60",72,"White Heart",298.84036,5,37.1573567501336,"Not available",-63.9333578685195,1,"ARIYJXD1187B98C70E",113.277,"ccm",0.265861049,0.337507289,0.477364753,0.36873,0.36873,19.093,-9.998,289.46,0.16818,4,"Not Available"
"61",73,"Heavy D / McGruff",161.38404,5,18.11526,"Jamaica, West Indies",-77.27348,0,"ARX1QYS1187B9A1F82",96.979,"pop rap",0.237733942,0.36366811,0.617870116,0.98426,0.36334,0.165,-9.161,161.384,0.05327,4,"1990"
"62",74,"Van Halen",209.29261,8,37.1573567501336,"Pasadena, CA",-63.9333578685195,1,"ARZK3VD1187B99EB47",140.995,"heavy metal",0.82448213,0.579988982,0.744641246,0.34761,0.34761,0.458,-4.865,206.623,0.14268,1,"Not Available"
"63",75,"Black Eyed Peas",229.61587,11,37.1573567501336,"Los Angeles, CA",-63.9333578685195,0,"ARV4KO21187FB38008",105.206,"hip hop",0.624425493,1.005941966,0.845601887,1.1904,0.63902,0.258,-4.882,213.664,0.36332,4,"2000"
"64",76,"Nine Inch Nails",426.89261,0,41.50471,"Cleveland, OH",-81.69074,0,"ARC4K2E1187B9B6FDA",63.017,"industrial metal",0.635536649,0.598458501,0.905776889,1.76242,0.80838,0.286,-12.951,399.9,0.33137,4,"2000"
"65",78,"Nadine Renee",249.41669,2,37.1573567501336,"Not available",-63.9333578685195,1,"ARBKGAY1187B98DEBE",167.92,"freestyle",0.198785349,0.139247394,0.408389022,0.50432,0.14912,0.647,-6.693,238.434,0.14912,4,"Not Available"
"66",79,"Lesley Gore",136.48934,9,40.71455,"New York, NY",-74.00712,1,"ARAJPHH1187FB5566A",129.122,"brill building pop",0.53,0.389100776,0.606925359,0.06727,0.06727,0.229,-9.091,130.026,0.06727,1,"1960"
"67",80,"Smartbomb",233.27302,0,37.1573567501336,"Not available",-63.9333578685195,1,"ARJ8IIY1187B992734",132.022,"melodic hardcore",0,0.322485106,0.562463784,0.64544,0.19348,0.386,-2.658,231.178,0.19348,4,"2000"
"68",81,"Suburbs",187.24526,1,37.1573567501336,"Minnesota",-63.9333578685195,1,"ARWCDXY1187B989346",183.92,"british pop",0.249065795,0.335651839,0.481004583,0.302,0.302,0.107,-4.42,178.625,0.13943,1,"2000"
"69",84,"Glen Campbell",142.75873,1,34.03142,"Delight, AR",-93.50243,0,"ARGIABO1187FB4B3B5",137.29,"country rock",0.03,0.481024239,0.67159627,0.09896,0.09896,0.218,-11.335,135.546,0.09896,4,"Not Available"
"70",85,"T.G. Sheppard",194.11546,5,35.82213,"Humboldt, TN",-88.91599,1,"ARGIABO1187FB4B3B5",82.343,"country rock",0.382723281,0.343281882,0.449323615,0.52519,0.52519,0.089,-15.581,182.729,0.15887,1,"2000"
"71",86,"Slim Whitman",195.91791,3,27.94653,"Tampa, FL",-82.45927,1,"AR0IVGJ1187FB55D61",91.487,"folk-pop",0.34,0.386669092,0.51644378,1.87142,0.61665,0.165,-11.98,192.087,0.20411,4,"1990"
"72",87,"Savage Garden",118.33424,9,37.1573567501336,"CA",-63.9333578685195,0,"ARQM3CJ1187B9B7AD1",84.69,"easy listening",0.24,0.538070295,0.728209707,3.56292,0.22888,1.088,-11.215,118.334,0.22888,5,"1990"
"73",88,"Queens Of The Stone Age",288.41751,2,37.1573567501336,"Not available",-63.9333578685195,1,"ARRP8TZ1187B98DB84",115.606,"stoner metal",0.725121284,0.552413346,0.798645179,0.68393,0.15338,0.113,-8.165,279.179,0.15338,4,"2000"
"74",89,"Hank Penny & The Lincoln Penny Orchestra",123.21914,7,33.52029,"Birmingham, AL",-86.8115,0,"ARZRHS51187FB47767",126.523,"western swing",0,0.347598889,0.445854631,0.14694,0.14694,1.001,-12.69,118.079,0.14694,1,"Not Available"
"75",90,"Inspiral Carpets",283.76771,2,53.4796,"Manchester, England",-2.24881,1,"ARPATQ21187B9ACAFC",113.677,"indie rock",0.665172241,0.398547535,0.605109702,0.72006,0.18905,0.113,-8.7,271.83,0.18905,4,"1990"
"76",91,"Borialis",239.3073,2,37.1573567501336,"Not available",-63.9333578685195,1,"AR7NMRP1187B99879F",86.938,"rap rock",0.554654768,0.421415103,0.454043995,1.76995,0.38749,0.182,-5.758,220.264,0.04274,4,"Not Available"
"77",92,"The Dirty Skirts",206.75873,0,37.1573567501336,"Not available",-63.9333578685195,1,"ARNB49G1187FB40678",141.936,"indie rock",0.304169503,0.404182207,0.543516131,0.55647,0.13404,0.096,-4.907,193.115,0.13404,4,"Not Available"
"78",93,"Flor Silvestre",134.81751,11,37.1573567501336,"Not available",-63.9333578685195,1,"ARTHFSQ12454A434C4",106.049,"ranchera",0.02,0.313569343,0.42054585,0.24456,0.24456,0.218,-8.133,130.723,0.24456,1,"Not Available"
"79",95,"Redman",124.18567,1,37.1573567501336,"Newark, NJ",-63.9333578685195,0,"AR05OJD1187B9B99A6",85.008,"hip hop",0.57010593,0.493566843,0.743129776,2.95336,0.65164,1.088,-10.296,121.005,0.16161,5,"2000"
"80",97,"Eddie Cantor",155.61098,11,40.71455,"New York, NY",-74.00712,1,"ARRL2QH1187B9AC814",118.975,"easy listening",0,0.331090126,0.416141023,0.23005,0.23005,0.154,-13.71,150.75,0.23005,1,"Not Available"
"81",99,"Kai Winding",223.4771,0,56.153,"Aarhus, Denmark",10.20452,1,"ARE7JKW1187FB4A7CA",112.006,"hard bop",0,0.316354001,0.430538907,1.38242,0.33359,0.291,-14.438,220.026,0.33359,4,"1960"
"82",100,"Sonny Simmons",443.24526,1,31.84666,"Sicily Island, LA",-91.657,1,"ARCNR3E1187B9B7030",45.527,"free jazz",0.270775999,0.317833879,0.428375417,10.84083,1.34066,0.23,-13.002,430.736,0.33736,4,"Not Available"
"83",101,"Mira",177.81506,4,37.1573567501336,"Tallahassee, FL",-63.9333578685195,1,"AR9U1SA1187B9940C1",85.621,"shoegaze",0.06,0.345751247,0.545110951,1.66153,0.96449,0.554,-12.004,167.48,0.61541,4,"2000"
"84",103,"The Brooklyn Tabernacle Choir",324.44036,7,37.1573567501336,"Not available",-63.9333578685195,1,"ARSA3561187FB58C37",216.195,"gospel",0.405115722,0.432011947,0.559278494,0.95031,0.38454,0.504,-11.829,312.239,0.38454,5,"1990"
"85",104,"Ellen McIlwaine",275.12118,7,36.16778,"Nashville, TN",-86.77836,1,"ARJKCI01187FB4EA22",132.428,"blues-rock",0.242741879,0.325148571,0.438887475,0.8598,0.41287,0.34,-6.29,272.933,0.41287,4,"Not Available"
"86",105,"Vince Guaraldi / Bola Sete",294.66077,5,37.77916,"San Francisco, CA",-122.42005,0,"ARLKR161187FB50694",168.307,"latin jazz",0.386790177,0.414892612,0.57810363,0.15435,0.15435,0.864,-15.761,282.564,0.15435,4,"Not Available"
"87",106,"Maurice Chevalier",193.20118,0,37.1573567501336,"Menilmontant, France",-63.9333578685195,1,"ARMC5XS1187B9A836B",140.956,"chanson",0,0.391585329,0.502453177,0.56594,0.14386,0.497,-27.433,190.003,0.14386,7,"Not Available"
"88",107,"Carl Cox Vs Yousef",357.82485,1,37.1573567501336,"Not available",-63.9333578685195,1,"ARRYBYF1187FB3929E",130.016,"tech house",0.511254835,0.384184259,0.541975108,0.6235,0.16237,0.131,-5.701,353.785,0.16237,5,"1990"
"89",108,"Organized Konfusion",198.3473,11,37.1573567501336,"SPRINGFIELD, Virginia",-63.9333578685195,0,"ARM2EJV1187B98EA13",175.769,"hip hop",0.460484845,0.412671631,0.683719468,0.41054,0.0684,0.201,-8.709,182.184,0.0684,4,"1990"
"90",109,"Martina McBride",261.95546,7,37.1573567501336,"Medicine Lodge, KS",-63.9333578685195,1,"ARMH4YI1187FB3F45E",100.194,"country",0.488289876,0.628246419,0.614870934,0.2688,0.2688,0.34,-13.627,253.452,0.2688,3,"2000"
"91",110,"Horace Andy",176.27383,2,18.01571,"Kingston, Jamaica",-76.79731,1,"ARABKKO11F50C4D0A5",151.911,"roots reggae",0.01,0.374271174,0.626436382,0.87289,0.4435,0.183,-11.479,166.911,0.23251,4,"1980"
"92",113,"Hot Tuna",239.59465,0,37.77916,"San Francisco, CA",-122.42005,1,"ARKURQ01187B990F15",172.398,"blues-rock",0.13,0.405178359,0.567278871,0.18671,0.18671,0.31,-9.275,231.3,0.18671,1,"1970"
"93",114,"Richard Burton",171.49342,2,40.99471,"Pennsylvania",-77.60454,1,"ARIRZEG1187FB3E87E",109.823,"jazz fusion",0,0.28404741,0.432386477,1.49595,0.42142,0.085,-37.398,165.216,0.1441,3,"Not Available"
"94",115,"Rory Block",266.05669,1,40.71455,"New York, NY",-74.00712,1,"AR6XEHV1187FB43D1A",90.101,"delta blues",0,0.343185045,0.513829587,0.63247,0.63247,0.23,-13.836,256.064,0.26631,1,"Not Available"
"95",116,"Boyz II Men",329.27302,8,37.1573567501336,"Philadelphia, PA",-63.9333578685195,1,"ARL6HUT1187FB4D9C2",116.473,"new jack swing",0.345802234,0.601184942,0.790922848,1.00904,0.49144,0.45,-7.103,322.101,0.23264,4,"1990"
"96",117,"Howard Armstrong",198.922,9,35.4948,"Dayton, TN",-85.01235,0,"AR2TN2W1187B9894A6",126.821,"piedmont blues",0.333554807,0.326666707197432,0.454668191,0.97322,0.49835,0.228,-13.495,190.705,0.26092,4,"Not Available"
"97",118,"Donny Hathaway",283.21914,2,41.88415,"Chicago, IL",-87.63241,1,"ARIPNPE1187FB3EE18",111.191,"jazz funk",0.617365618,0.422472423,0.657406765,1.46125,0.36893,0.258,-15.144,277.467,0.0982,3,"1970"
"98",120,"Les Ogres De Barback",254.06649,4,37.1573567501336,"Not available",-63.9333578685195,0,"AR7VA9B1187B99CFFF",137.888,"chanson",0.394394856,0.437964733,0.652367864,0.49594,0.49594,0.43,-6.01,249.562,0.24195,1,"1990"
"99",123,"Tony Joe White",162.53342,2,32.77942,"Goodwill, LA",-91.56123,1,"ARJ8ND81187B9A07EB",173.482,"country rock",0.374796837,0.403509673,0.624723768,0.44814,0.09927,0.524,-17.285,151.551,0.09927,4,"Not Available"
"100",124,"Wolfmother",212.37506,4,37.1573567501336,"Sydney, Australia",-63.9333578685195,0,"AR6G4V01187B9AD086",110.745,"stoner metal",0.23,0.566971566,0.79225559,1.31008,0.22523,0.868,-5.931,209.438,0.08957,4,"2000"
"101",125,"The Roches",338.33751,2,37.1573567501336,"New York City",-63.9333578685195,0,"ARYXGMM1187B9AC285",130.027,"singer-songwriter",0.265861049,0.372251208,0.573605491,1.06691,0.59466,0.705,-14.248,328.986,0.59466,4,"1990"
"102",126,"Bob Margolin",126.51057,11,42.31256,"Boston, MA",-71.08868,1,"AR5HB8S1187B9976D4",110.168,"blues-rock",0.233796474,0.326848818,0.555985053,0.71979,0.17426,0.27,-12.651,121.702,0.17426,4,"Not Available"
"103",127,"Thomas Battenstein",205.58322,9,37.1573567501336,"Not available",-63.9333578685195,0,"ARS4HVG1187B98FBAD",97.976,"guitar",0.24,0.308032649889779,0.42562724,1.11556,0.44532,0.612,-16.056,182.323,0.11215,3,"Not Available"
"104",128,"Jupiter Rising",193.4624,0,37.1573567501336,"Not available",-63.9333578685195,0,"ARTDQRC1187FB4EFD4",119.979,"pop rap",0.215080319,0.363177861,0.662649695,0.62823,0.62823,2.717,-5.913,184.274,0.62823,4,"2000"
"105",129,"Dharma Bums",127.4771,6,37.1573567501336,"Not available",-63.9333578685195,1,"ARWT6GK1187B98D332",156.968,"progressive house",0,0.345809443,0.491921881,0.95881,0.95881,2.148,-5.541,118.195,0.76143,1,"Not Available"
"106",131,"The Verve Pipe",292.8322,9,42.73383,"Lansing, MI",-84.59334,1,"AR94SFV1187FB4DA2C",133.306,"post-grunge",0.466304831,0.498395338,0.70334944,0.65257,0.20769,3.344,-4.953,273.589,0.20769,4,"2000"
"107",132,"Bob Neuwirth",241.10975,4,40.71455,"New York",-74.00712,1,"ARYXAJN1187FB40F84",152.267,"singer-songwriter",0.480610618,0.301502462,0.434272038,0.92398,0.92398,2.659,-18.114,230.429,0.92398,3,"1990"
"108",133,"Marvin Sapp",270.68036,1,42.99671,"Grand Rapids, MI",-85.59012,1,"AR6AJHY1187B996626",166.275,"gospel",0.26568338,0.459665457,0.733714697,0.72495,0.36318,0.334,-11.061,267.906,0.36318,4,"Not Available"
"109",134,"James Hunter",188.73424,2,30.2676,"Austin",-97.74298,1,"ARLYUFJ1187B98DA67",114.971,"blue-eyed soul",0,0.431526919,0.625443262,0.80573,0.29176,0.383,-7.04,178.463,0.29176,4,"Not Available"
"110",136,"Mish Mash",254.32771,2,37.1573567501336,"Not available",-63.9333578685195,1,"AREDYJH12AF7DA7A11",152.005,"vocal house",0,0.351210537,0.505644262,0.07332,0.07332,0.165,-11.213,249.858,0.07332,1,"Not Available"
"111",138,"Maxi Priest",301.81832,10,54.31392,"Great Britain / UK",-2.23218,0,"AR1F7A61187B99F6EA",61.971,"lovers rock",0.345802234,0.446890727,0.661001337,0.03212,0.03212,2.566,-8.095,289.332,0.03212,1,"1990"
